"yr_yoy","both","varcpue$bothvar"
"1996",1.02628437106043,0.00109772469526492
"1997",0.719270232127379,0.00116244256967681
"1998",0.629273086196738,0.00157175550518875
"1999",0.492928581433451,0.00158514402480636
"2000",1.0045172009859,0.00139027009784369
"2001",0.929755380477606,0.00146991586685748
"2002",0.657985865183303,0.00165629857811971
"2003",0.594232347692882,0.00148239232407962
"2004",0.731392149079952,0.00120339187767026
"2005",0.418860828156339,0.00118553686051098
"2006",0.647164210837681,0.00109293678261753
"2007",0.528310210904804,0.00110444365700765
"2008",0.470789655737075,0.00112543328926968
"2009",0.463122078679433,0.00110692728103847
"2010",0.407823840342297,0.00116743455904491
"2011",0.460138276167749,0.0011583740062301
"2012",0.38615250280011,0.00114425566832954
"2013",0.36560815515257,0.00116190537415981
"2014",0.464153008654943,0.00114650388817679
"2015",0.426091828457079,0.00110547589943275
"2016",0.453604230690059,0.00107336702845311
