"yr_yoy","both","varcpue$bothvar"
"1996",8.37688899787315,0.0157587169516194
"1997",5.71511297956032,0.0101867905074996
"1998",3.40681527728785,0.00899212430524745
"1999",6.79480254152357,0.00878755629865356
"2000",6.56227982508062,0.00867182985812996
"2001",4.13822747408421,0.00741266626941545
"2002",5.54328581109384,0.00696728802789507
"2003",3.49025628293689,0.00742442796546886
"2004",3.97985526768964,0.00770927783694142
"2005",3.2795437968776,0.00770445642971701
"2006",4.85804325512219,0.00737454389370424
"2007",6.27109224866376,0.00715475189217077
"2008",3.72803548273569,0.00732548553292904
"2009",3.05450613379728,0.00757429136107064
"2010",2.53773334440138,0.00790670680733747
"2011",3.24415544140946,0.00767466998319582
"2012",4.18476729473108,0.00783675627637997
"2013",2.37657400779213,0.0079360706071778
"2014",1.31065502893925,0.00830631347175282
"2015",1.71854492465068,0.00818219573952407
"2016",2.69803760550334,0.00811963319640377
