"yr_yoy","both","varcpue$bothvar"
"1996",0.0646641955870698,0.00176920832336031
"1997",0.108969739697882,0.00179281581131979
"1998",0.0924134546717897,0.00535102863489025
"1999",0.0350527510176278,0.00581439074954187
"2000",0.0339191908272627,0.00652807600363085
"2001",0.0467092169226388,0.00215144763226388
"2002",0.121584662495282,0.00235893909426574
"2003",0.0831591481873882,0.00227485218109079
"2004",0.122417764203243,0.00247853385125039
"2005",0.0497280521667101,0.00216005278800436
"2006",0.0542293566866947,0.00222299016845599
"2007",0.0790818833114604,0.00227109512597745
"2008",0.155844408139534,0.00256799062250686
"2009",0.0919398136328316,0.00230781064408241
"2010",0.0661709426049481,0.00226338911252968
"2011",0.0547413927148389,0.00221322473364408
"2012",0.0718982337242511,0.0022991396074166
"2013",0.0508774558137369,0.0021706777878271
"2014",0.0356365129739898,0.00220549008838337
"2015",0.0626668769621189,0.00216546388345385
"2016",0.0443598899552356,0.00219800012053415
