"yr_yoy","both","varcpue$bothvar"
"1996",0.0469829435680273,0.00186837309882955
"1997",0.105116813039995,0.00232069279855379
"1998",0.0466491705420814,0.00364863562237873
"1999",0.0782394096364559,0.00361249635677123
"2000",0.125842211415627,0.00376379284240929
"2001",0.110430145629733,0.0036486587343596
"2002",0.0826227754301797,0.00364923372022048
"2003",0.103974386375454,0.0032270884240236
"2004",0.0950661268916787,0.00245301527071123
"2005",0.0484466003545667,0.00148481753524268
"2006",0.0812208928154481,0.00170299385285756
"2007",0.158182252857498,0.00205308005157665
"2008",0.124077503534549,0.00196597959972321
"2009",0.0594993090182837,0.0015971145930927
"2010",0.0579837578256631,0.00148908447014895
"2011",0.0881599452088968,0.00162985216498091
"2012",0.0922581175604889,0.00183837143474721
"2013",0.0535830221136813,0.00151318287222742
"2014",0.0641093517579841,0.0015790419955897
"2015",0.0640995857848401,0.00152157819233127
"2016",0.0624082693466257,0.00159177400140897
