"yr_yoy","both","varcpue$bothvar"
"1996",0.887164837616973,0.00165618291985378
"1997",0.862545593491939,0.00140613102180402
"1998",0.761759243495444,0.00159201472710684
"1999",1.07542293412836,0.00159622128349742
"2000",1.00319597054807,0.00161821452945029
"2001",0.687277775687257,0.00158206451089976
"2002",0.563148755414438,0.00175545507785362
"2003",0.565504809467428,0.0019077271042898
"2004",0.773028583671583,0.0015447226011142
"2005",0.53564919789946,0.00146234750045875
"2006",0.386932980158228,0.00179282295647286
"2007",0.296544305536437,0.00186982875021479
"2008",0.708662287800904,0.0014612714330689
"2009",0.664544391787593,0.00138475296969633
"2010",0.893480177981928,0.0013947994422335
"2011",1.17018077923925,0.00127872306694797
"2012",0.651903306637578,0.00138147339086357
"2013",0.455585842487622,0.00152590435129001
"2014",0.41768230493335,0.00158922307441323
"2015",0.568204810795786,0.00147612837722486
"2016",0.910091873007212,0.00143249095077246
