"yr_yoy","both","varcpue$bothvar"
"1996",1.69640801588391,0.00162838007799972
"1997",0.71962650167107,0.0017117761021422
"1998",0.988795593210375,0.0020278586587217
"1999",0.752447745117711,0.00204725169912847
"2000",0.876298263745618,0.0020483281085184
"2001",0.993856309863142,0.00204996515629474
"2002",1.7009994390112,0.00186931206709856
"2003",1.35160224902632,0.00189105961842009
"2004",1.27749569199682,0.00177648944856632
"2005",0.796662203236331,0.00182268584988348
"2006",1.25361089250852,0.00167816515363717
"2007",0.566196223409037,0.00208350267782322
"2008",0.482058039376711,0.00222034303889264
"2009",0.74663744326029,0.00200872254779081
"2010",0.478657967337297,0.00234371610343929
"2011",0.38125960671755,0.00223583529180216
"2012",0.368503568337922,0.0023041085817978
"2013",0.701106096614553,0.00197928584677407
"2014",0.881483742802551,0.00196544444551791
"2015",1.38650340982741,0.00168565014544651
"2016",1.60020439439214,0.00149076860532394
