"yr_yoy","both","varcpue$bothvar"
"1996",0.948959780446492,0.00135608843220343
"1997",1.19892538725713,0.00129170137073073
"1998",0.697477299548689,0.00157899178997439
"1999",0.913804735387874,0.0014423151695813
"2000",0.532045346453427,0.0014848246503841
"2001",0.730581721295997,0.0016129853533368
"2002",0.595431977098903,0.00159805041238772
"2003",0.741514706435541,0.00156798107843288
"2004",0.785398728063413,0.00152554224937883
"2005",0.140899038652251,0.00243977313286805
"2006",0.262659742822513,0.00210765516579482
"2007",0.519521965100564,0.00171163428599291
"2008",0.747716062192881,0.00141922977538164
"2009",0.931681064036335,0.00141529862864815
"2010",0.801819723379475,0.0013948956819277
"2011",1.60172799051568,0.00131047317145045
"2012",1.17128368448425,0.00131752518964182
"2013",0.576465886312876,0.00146378583691073
"2014",0.562664690251069,0.00156240068767704
"2015",0.881396047632294,0.00143127744751748
"2016",0.594711285407159,0.00147584459759025
