"yr_yoy","both","varcpue$bothvar"
"1996",0.507739608669712,0.000644945986198939
"1997",0.476144983810972,0.000657078524198054
"1998",0.272949980785613,0.000902827834761553
"1999",0.437746285064709,0.000777182582543036
"2000",0.626977288021717,0.000743902697575822
"2001",0.556247659667061,0.000762389828138586
"2002",0.491078302181159,0.000774734413378678
"2003",0.306467066122767,0.000873624743016318
"2004",0.36791041392638,0.00083614564478514
"2005",0.222314691246473,0.000793207112552096
"2006",0.451710034773886,0.000711136758493056
"2007",0.259333610749619,0.000766235568554246
"2008",0.261327588663524,0.000773058741595459
"2009",0.294962659817524,0.000757523233422277
"2010",0.210235761377568,0.000811358565717813
"2011",0.255804632765747,0.000796038762087352
"2012",0.229380487066817,0.000784034912470462
"2013",0.217308865801653,0.000782756905344678
"2014",0.301198404182202,0.000744814245176088
"2015",0.359178655691664,0.000738396086953752
"2016",0.295678176388305,0.000737221134699181
