"yr_yoy","both","varcpue$bothvar"
"1996",1.91775138961939,0.00197701665665541
"1997",1.26795270486488,0.00220289542406335
"1998",1.39985375270291,0.00226935899440091
"1999",1.86960209597049,0.00223944219799539
"2000",2.09480212709727,0.0021352358752798
"2001",1.56798318206931,0.00222128552428605
"2002",1.65183739898973,0.00221352582587665
"2003",1.4159415833816,0.00219332197850857
"2004",1.65378885875445,0.00213561383724759
"2005",1.86292866958885,0.00211295354792343
"2006",3.15623147760585,0.00201286428454029
"2007",1.55089274563897,0.00215770474610108
"2008",1.35594490933058,0.00221927019414756
"2009",1.44678247302194,0.0021922235066682
"2010",0.964212832736017,0.00230136749029553
"2011",1.10607258094382,0.00222856407025033
"2012",1.37252670827257,0.00217344021859002
"2013",1.26170102054386,0.00215912759064561
"2014",1.51862307232624,0.00205913147332252
"2015",2.25160728837392,0.00193974469595111
"2016",1.77901072665172,0.00197074768878472
