"yr_yoy","both","varcpue$bothvar"
"1996",0.940748150907363,0.00259989250109817
"1997",0.57979198712212,0.00182509628787316
"1998",0.874997754459708,0.00202377792790304
"1999",0.833917175960994,0.00186685139491913
"2000",0.505219679574602,0.00188399765753588
"2001",0.482342713738382,0.00164650716760806
"2002",0.903008163093052,0.00167996317116418
"2003",0.308254180805216,0.0018108951470432
"2004",0.711540515861263,0.00163389647356435
"2005",0.618691685318319,0.00172173233187579
"2006",0.555829307329442,0.00164755305743053
"2007",0.540469278915299,0.00168366409966159
"2008",0.514360425941208,0.00169191240414225
"2009",0.391807877828039,0.0018392371213156
"2010",0.343954647446811,0.00175377034186628
"2011",0.454957050139934,0.00172645127048667
"2012",0.610179986656977,0.00162190547879465
"2013",0.445767669534983,0.0019454944394137
"2014",0.119182294068001,0.00245937634009476
"2015",0.286005440434104,0.00180518647249058
"2016",0.315885712445794,0.00190599797670366
