"yr_yoy","both","varcpue$bothvar"
"1996",17.9262902312392,0.0175332967092469
"1997",6.43715413934992,0.0186028634940153
"1998",14.6661686994411,0.0207431375967678
"1999",9.94318051329975,0.0217857857175131
"2000",6.69362912832897,0.0225262713904942
"2001",10.7033528035683,0.0218182245471873
"2002",13.7882856361663,0.0208235073042409
"2003",12.0249300846412,0.0218179486563169
"2004",9.95674101263541,0.0197064383138622
"2005",19.1394082654672,0.0193170956973589
"2006",12.8947493976392,0.0197328474181333
"2007",7.35992971727206,0.0220336008600741
"2008",8.2599792620129,0.0225673990211185
"2009",7.47388980653017,0.0218496236541141
"2010",7.07436191451996,0.0200143768782153
"2011",5.556214726794,0.0225921962426704
"2012",4.63509179494333,0.0226496870501329
"2013",7.02580306514021,0.0217397865450321
"2014",8.04414138665761,0.0224372033181765
"2015",6.77569035187928,0.0214157775335052
"2016",6.65308903280723,0.016352854813031
