"yr_yoy","both","varcpue$bothvar"
"1996",0.444848322360494,0.000466478482797782
"1997",0.238289540109703,0.000314523117831314
"1998",0.185343341365754,0.000316465939327205
"1999",0.122014982138677,0.000315189102653896
"2000",0.239869511314651,0.000309837532860665
"2001",0.259215417045454,0.000253594692633849
"2002",0.143591969203704,0.000231404585912136
"2003",0.189405225479656,0.00023320748548141
"2004",0.0602338311305033,0.000250962818449489
"2005",0.00762346257789006,0.000694936358261223
"2006",0.0602950397760186,0.000260887076351113
"2007",0.15122378889702,0.00022852691311722
"2008",0.0457746199712005,0.00026406542901931
"2009",0.0284802094764142,0.000302102518127512
"2010",0.030085084267602,0.000375605753673279
"2011",0.052965729514312,0.000259704028037863
"2012",0.0397416288341621,0.000299377383882059
"2013",0.00422713229389433,0.000971158862510979
"2014",0.00575542850094552,0.000992678915658003
"2015",0.0213987538178771,0.000563441756231876
"2016",0.052835612267259,0.00026606062817853
