"yr_yoy","both","varcpue$bothvar"
"1998",0.337064078048858,0.0020124959379792
"1999",0.33377668449129,0.00165394576184933
"2000",0.451013392944857,0.00162768796146405
"2001",0.275483505208448,0.00158446896575025
"2002",0.685071606830387,0.00136416556953525
"2003",0.360987623360466,0.00153415650837459
"2004",0.399528761997456,0.00144832291398315
"2005",0.416178247785986,0.00147750347273669
"2006",0.218300218167309,0.00164207125082186
"2007",0.52742331305385,0.00138919358362892
"2008",0.755132049151664,0.00134396750893606
"2009",0.633659785068352,0.00133596377087503
"2010",0.497505563111866,0.00140355319122201
"2011",0.61876565319238,0.00136610896129267
"2012",0.597620275338081,0.00136763530598918
"2013",0.556672124744858,0.00144980827755893
"2014",0.209861030506684,0.00156484204574993
"2015",0.451836140657148,0.0013977459481511
"2016",0.317896847029594,0.00148621117756018
