"yr_yoy","both","varcpue$bothvar"
"1996",0.335948588513887,0.000568569804198058
"1997",0.233108258686701,0.000471688316462649
"1998",0.174703292408295,0.000759287762837725
"1999",0.19897911109696,0.000714219255996925
"2000",0.234034672812291,0.000714952432849128
"2001",0.189746284980453,0.00051840596418367
"2002",0.188145039792705,0.000506303561039284
"2003",0.13538071671473,0.000559949625629548
"2004",0.19133556249578,0.00052072251102162
"2005",0.0799699716007333,0.000631003259142743
"2006",0.20834324109761,0.000494475917974084
"2007",0.191600239740502,0.00050807824748377
"2008",0.165546987728217,0.000529348757414188
"2009",0.10775656023817,0.000576604657415261
"2010",0.143994515058619,0.000558235159684785
"2011",0.201150442340676,0.00050145858567791
"2012",0.135821811445906,0.000555540719883651
"2013",0.0703149460834561,0.000667530033567545
"2014",0.100450193139186,0.000605236104537447
"2015",0.192390658194756,0.000508603421254743
"2016",0.115847262999795,0.000551924024086128
