"yr_yoy","both","varcpue$bothvar"
"1996",0.0319804326557974,0.00118325819220258
"1997",0.0667745505007109,0.00164955030250802
"1998",0.0194506785913048,0.00189921800440951
"1999",0.0549049823188074,0.00231006563987312
"2000",0.0813351317028735,0.00300080330391883
"2001",0.0266772770516825,0.00203502408847647
"2002",0.0513835606214352,0.00245016795412144
"2003",0.0350311113824674,0.00225048285917258
"2004",0.0445230269714812,0.00235094960748547
"2005",0.0223084809975218,0.00128131342718122
"2006",0.0832137657384899,0.0022135234104066
"2007",0.0893827648002423,0.00219787492009277
"2008",0.101913610301663,0.00237770526929749
"2009",0.0592943036755833,0.00186997454430826
"2010",0.0317777221355134,0.00151740238963487
"2011",0.0422718020342295,0.00168991110155198
"2012",0.053966128204499,0.00199476911503168
"2013",0.0435277874836065,0.00172076322306571
"2014",0.02552450990623,0.00127824858964855
"2015",0.0250297744014373,0.00125585540506885
"2016",0.0266788880059916,0.00143314800655854
