"yr_yoy","both","varcpue$bothvar"
"1998",0.181462610650496,0.00209883358345025
"1999",0.306692965475064,0.00170875320742255
"2000",0.109534866053306,0.00114473726931977
"2001",0.101515624792571,0.000751973565963737
"2002",0.194820746988195,0.000725705812826538
"2003",0.160581380140532,0.000627367786134983
"2004",0.246791488684545,0.00063100349065158
"2005",0.143995920118749,0.00064279127733723
"2006",0.221626576146326,0.000642362458697144
"2007",0.155277055537471,0.000645610681423644
"2008",0.129717617540659,0.000649713113387569
"2009",0.102431350019484,0.000652210673397557
"2010",0.0767155507339337,0.000695360709900156
"2011",0.177228138944584,0.000640205734104653
"2012",0.0866791187817447,0.000709935463392048
"2013",0.0745513817808708,0.000675711095792905
"2014",0.248191595238456,0.000627962488498534
"2015",0.265334468044098,0.000638360297798117
"2016",0.148330061293766,0.000636425589583903
