"yr_yoy","both","varcpue$bothvar"
"1998",0.420972191815813,0.00184668760953855
"1999",0.349141796111098,0.00152370499240274
"2000",0.407481320615029,0.00130766376566514
"2001",0.320619229146676,0.000904403675946711
"2002",0.379198300453605,0.000863264979366398
"2003",0.275641277221599,0.000953538541135337
"2004",0.385343255038865,0.000827480167669204
"2005",0.20493106442619,0.000981438858352996
"2006",0.323938576921547,0.00084601511607384
"2007",0.31182959170899,0.000857064146267916
"2008",0.304807173184384,0.000844204684956226
"2009",0.38821859606813,0.000820832071076483
"2010",0.295459431638687,0.000881813963374884
"2011",0.383777065892471,0.000825804353454385
"2012",0.253987634117748,0.000933954715629498
"2013",0.290449776972056,0.000906731764663639
"2014",0.362709891924413,0.000830460501303486
"2015",0.397021380747266,0.000830022324337561
"2016",0.292492368595359,0.000860337011892051
