"yr_yoy","both","varcpue$bothvar"
"1998",0.04758153039085,0.00332455279913103
"1999",0.0740755598681323,0.00321224131811544
"2000",0.0424792993408458,0.00306349442170462
"2001",0.0712113729300452,0.00234734396529549
"2002",0.0656806868333886,0.00235614701307119
"2003",0.0639375402949599,0.00208278963964599
"2004",0.091325957532836,0.00244948420526373
"2005",0.0470258601298142,0.0018297245940863
"2006",0.0818325691691957,0.00264420535195578
"2007",0.129098597619623,0.00281403725074176
"2008",0.12989295596373,0.00295315004033638
"2009",0.125827078121259,0.00336815903069043
"2010",0.0593263195790915,0.00236637097541529
"2011",0.0726837065370889,0.00255326807395015
"2012",0.0725797197488656,0.00246987462229195
"2013",0.153142360729162,0.00261648067933375
"2014",0.0669820688969472,0.00242483686860658
"2015",0.103942139577388,0.00273006453507424
"2016",0.0609981307630897,0.00217955495486389
